iter	Passed	Remaining
0	1	141
1	2	126
2	6	222
3	7	191
4	8	167
5	9	151
6	10	139
7	12	142
8	14	149
9	15	143
10	17	139
11	19	140
12	20	134
13	21	130
14	22	124
15	23	121
16	24	119
17	27	124
18	30	128
19	31	125
20	33	126
21	34	122
22	35	119
23	36	115
24	37	112
25	38	109
26	39	106
27	40	103
28	42	103
29	44	104
30	45	102
31	47	100
32	48	98
33	49	95
34	50	93
35	51	91
36	52	90
37	54	88
38	57	89
39	59	89
40	61	88
41	61	85
42	67	89
43	68	86
44	69	85
45	73	85
46	74	84
47	76	83
48	78	81
49	79	79
50	80	77
51	81	74
52	82	73
53	83	70
54	84	68
55	86	67
56	88	66
57	90	65
58	92	64
59	93	62
60	94	60
61	96	59
62	98	57
63	99	56
64	102	55
65	105	54
66	120	59
67	135	63
68	138	62
69	143	61
70	151	61
71	152	59
72	155	57
73	157	55
74	158	52
75	159	50
76	162	48
77	167	47
78	169	45
79	170	42
80	171	40
81	173	38
82	174	35
83	176	33
84	179	31
85	183	29
86	184	27
87	185	25
88	187	23
89	188	20
90	189	18
91	195	16
92	201	15
93	205	13
94	212	11
95	214	8
96	216	6
97	218	4
98	224	2
99	227	0
